chunk_x,chunk_y,records,file
59,69,28,c_059_69.json
28,70,923,c_028_70.json
33,71,1195,c_033_71.json
27,70,663,c_027_70.json
32,71,1196,c_032_71.json
57,70,1023,c_057_70.json
51,71,173,c_051_71.json
31,71,1194,c_031_71.json
52,71,384,c_052_71.json
58,70,1106,c_058_70.json
30,71,1194,c_030_71.json
53,71,475,c_053_71.json
59,70,1145,c_059_70.json
29,71,1198,c_029_71.json
54,71,627,c_054_71.json
28,71,1195,c_028_71.json
41,72,1149,c_041_72.json
42,72,1149,c_042_72.json
55,71,818,c_055_71.json
39,72,1139,c_039_72.json
40,72,1138,c_040_72.json
43,72,1138,c_043_72.json
44,72,866,c_044_72.json
26,70,95,c_026_70.json
38,72,1140,c_038_72.json
45,72,587,c_045_72.json
60,70,751,c_060_70.json
37,72,1141,c_037_72.json
46,72,84,c_046_72.json
36,72,1138,c_036_72.json
27,71,1193,c_027_71.json
56,71,670,c_056_71.json
35,72,1141,c_035_72.json
34,72,1140,c_034_72.json
26,71,861,c_026_71.json
57,71,51,c_057_71.json
33,72,1139,c_033_72.json
32,72,1141,c_032_72.json
58,71,46,c_058_71.json
31,72,1139,c_031_72.json
30,72,1142,c_030_72.json
59,71,13,c_059_71.json
61,70,175,c_061_70.json
29,72,1138,c_029_72.json
60,71,13,c_060_71.json
28,72,1140,c_028_72.json
41,73,824,c_041_73.json
42,73,584,c_042_73.json
40,73,948,c_040_73.json
43,73,282,c_043_73.json
39,73,1079,c_039_73.json
44,73,10,c_044_73.json
38,73,1084,c_038_73.json
37,73,1081,c_037_73.json
27,72,1143,c_027_72.json
61,71,6,c_061_71.json
36,73,1083,c_036_73.json
25,71,74,c_025_71.json
35,73,1083,c_035_73.json
34,73,1081,c_034_73.json
26,72,1140,c_026_72.json
33,73,1083,c_033_73.json
32,73,1083,c_032_73.json
25,72,492,c_025_72.json
31,73,1085,c_031_73.json
30,73,1083,c_030_73.json
29,73,1080,c_029_73.json
28,73,1060,c_028_73.json
39,74,123,c_039_74.json
40,74,1,c_040_74.json
38,74,590,c_038_74.json
27,73,1084,c_027_73.json
37,74,857,c_037_74.json
36,74,964,c_036_74.json
35,74,1022,c_035_74.json
26,73,1081,c_026_73.json
34,74,781,c_034_74.json
33,74,573,c_033_74.json
25,73,1083,c_025_73.json
32,74,668,c_032_74.json
31,74,633,c_031_74.json
24,73,875,c_024_73.json
30,74,423,c_030_74.json
29,74,213,c_029_74.json
28,74,341,c_028_74.json
27,74,1023,c_027_74.json
35,75,8,c_035_75.json
26,74,1024,c_026_74.json
23,73,163,c_023_73.json
25,74,1026,c_025_74.json
24,74,1025,c_024_74.json
23,74,923,c_023_74.json
28,75,2,c_028_75.json
27,75,13,c_027_75.json
26,75,14,c_026_75.json
22,74,334,c_022_74.json
25,75,11,c_025_75.json
24,75,12,c_024_75.json
23,75,11,c_023_75.json
21,74,400,c_021_74.json
22,75,13,c_022_75.json
20,74,80,c_020_74.json
21,75,12,c_021_75.json
20,75,8,c_020_75.json
